,batter,kde_xwoba,player_name,BIP
189,608336,0.506678833,Joey Gallo,291
60,502110,0.5053528,J.D. Martinez,428
210,571970,0.491090792,Max Muncy,266
213,592450,0.48303392,Aaron Judge,264
253,660271,0.479840203,Shohei Ohtani,223
54,605141,0.478505531,Mookie Betts,433
29,592206,0.472155585,Nicholas Castellanos,466
83,572761,0.471544654,Matt Carpenter,409
86,501981,0.467916913,Khris Davis,405
142,545361,0.465940912,Mike Trout,350
72,502671,0.464713161,Paul Goldschmidt,419
132,502054,0.460878712,Tommy Pham,357
74,621566,0.460711386,Matt Olson,418
165,606192,0.457477292,Teoscar Hernandez,315
169,660670,0.457092468,Ronald Acuna Jr.,312
94,443558,0.456986243,Nelson Cruz,399
40,543685,0.456349015,Anthony Rendon,450
106,547180,0.455676169,Bryce Harper,386
381,488671,0.454497109,Alex Avila,106
131,542583,0.452484047,Jesus Aguilar,359
384,408234,0.452243615,Miguel Cabrera,103
130,457708,0.451438732,Justin Upton,359
48,592885,0.450092764,Christian Yelich,439
196,543228,0.448923078,Yan Gomes,287
256,664023,0.448735173,Ian Happ,221
17,518692,0.448638243,Freddie Freeman,488
268,640461,0.448162143,Chad Pinder,212
251,572287,0.447804475,Mike Zunino,225
91,521692,0.447662293,Salvador Perez,401
103,553993,0.447286886,Eugenio Suarez,387
257,571976,0.445514452,Wil Myers,219
140,461314,0.444083574,Matt Kemp,353
158,434778,0.44151371,Kendrys Morales,323
164,657557,0.43909749,Paul DeJong,317
37,571745,0.439095051,Mitch Haniger,454
331,592122,0.438212825,Tyler Austin,149
212,429664,0.438166517,Robinson Cano,265
56,596115,0.438109725,Trevor Story,432
88,458015,0.437678016,Joey Votto,402
205,571602,0.436120194,Matt Davidson,271
271,501896,0.435577716,David Freese,209
80,519317,0.435384519,Giancarlo Stanton,411
194,656941,0.435047474,Kyle Schwarber,288
383,656811,0.434733274,Ryan O'Hearn,104
299,456665,0.434644389,Steve Pearce,176
305,452095,0.434444351,Tyler Flowers,173
181,545341,0.434204771,Randal Grichuk,302
116,429665,0.433259453,Edwin Encarnacion,372
379,657656,0.433228681,Ramon Laureano,106
328,519346,0.432955635,Eric Thames,150
55,500874,0.432836927,Jose Martinez,433
330,543543,0.431219786,Brad Miller,149
293,595909,0.430522501,Jake Cave,184
351,518626,0.427257112,Josh Donaldson,134
255,455139,0.427145534,Robinson Chirinos,222
318,571437,0.426460511,Aaron Altherr,154
364,456078,0.42562909,Welington Castillo,124
239,434158,0.425088099,Curtis Granderson,239
360,623520,0.423951592,David Bote,127
171,457759,0.421990075,Justin Turner,311
53,444482,0.421381748,David Peralta,434
148,598265,0.421224126,Jackie Bradley Jr.,339
288,666971,0.420412802,Lourdes Gurriel Jr.,193
174,650402,0.420103584,Gleyber Torres,307
244,475582,0.419956653,Ryan Zimmerman,234
93,656305,0.41983645,Matt Chapman,400
187,474832,0.419792682,Brandon Belt,294
62,457705,0.419515984,Andrew McCutchen,427
277,502143,0.418900694,Danny Valencia,205
3,592518,0.418506469,Manny Machado,531
283,460026,0.418451281,Nick Hundley,196
177,519048,0.418138319,Mitch Moreland,306
101,547989,0.417686149,Jose Abreu,393
128,543068,0.417525956,C.J. Cron,360
274,595751,0.417270115,Jorge Alfaro,207
168,665742,0.416563943,Juan Soto,312
167,592626,0.416146856,Joc Pederson,314
327,593934,0.416087768,Miguel Sano,151
190,607043,0.415731038,Brandon Nimmo,291
346,570267,0.415213667,Domingo Santana,137
90,408045,0.41520283,Joe Mauer,401
121,660162,0.414638967,Yoan Moncada,365
44,595879,0.414492267,Javier Baez,441
259,455104,0.414239696,Chris Iannetta,216
236,444432,0.414101734,Mark Trumbo,244
249,446263,0.413954417,Lucas Duda,228
294,621311,0.413437736,David Dahl,183
345,596847,0.413203626,Ji-Man Choi,137
178,467092,0.412978669,Wilson Ramos,304
122,594777,0.412954009,Kole Calhoun,363
126,621035,0.412879984,Chris Taylor,361
159,460075,0.41183104,Ryan Braun,321
143,475253,0.410388094,Justin Smoak,350
337,448602,0.41017068,Mark Reynolds,145
232,518614,0.409818303,Daniel Descalso,247
163,624577,0.409478306,Yasiel Puig,318
85,425783,0.408900693,Shin-Soo Choo,407
110,460086,0.408555604,Alex Gordon,380
52,572039,0.406502688,Stephen Piscotty,434
222,541645,0.405285474,Avisail Garcia,256
161,518735,0.405233466,Yasmani Grandal,319
243,547982,0.404898762,Leonys Martin,236
347,408236,0.404635546,Adrian Gonzalez,137
21,542303,0.404500319,Marcell Ozuna,475
22,571448,0.404295363,Nolan Arenado,474
27,476704,0.404201426,Jed Lowrie,470
226,641531,0.403912088,Hunter Dozier,252
197,592178,0.403760906,Kris Bryant,285
79,656555,0.403709522,Rhys Hoskins,412
199,448801,0.40334363,Chris Davis,282
120,503556,0.402108587,Marwin Gonzalez,368
262,430832,0.401839515,Jose Bautista,215
113,592663,0.40175268,J.T. Realmuto,376
218,435522,0.401575185,Neil Walker,262
84,641355,0.401234579,Cody Bellinger,409
75,593428,0.400768146,Xander Bogaerts,416
242,608385,0.400757927,Jesse Winker,237
201,592192,0.400755569,Mark Canha,279
11,608324,0.400612392,Alex Bregman,509
188,608384,0.40052488,Nick Williams,293
114,543305,0.400418397,Aaron Hicks,373
215,594953,0.40036386,Daniel Palka,264
146,134181,0.399535146,Adrian Beltre,343
162,572041,0.399393808,A.J. Pollock,318
1,596019,0.39890531,Francisco Lindor,559
73,607680,0.398676602,Kevin Pillar,419
7,593160,0.398383658,Whit Merrifield,519
310,519306,0.397593124,Steven Souza Jr.,165
186,592669,0.39715596,Hunter Renfroe,294
95,405395,0.397099959,Albert Pujols,398
296,614177,0.397069083,Franmil Reyes,178
280,609275,0.396733475,Adalberto Mondesi,202
63,452678,0.396374413,Asdrubal Cabrera,426
240,489149,0.396277594,Logan Morrison,238
382,571718,0.395655441,Brian Goodwin,104
372,534606,0.395285621,Ryan LaMarre,115
105,624424,0.395031523,Michael Conforto,386
98,475174,0.394962962,Yonder Alonso,396
2,455976,0.393708707,Nick Markakis,548
320,624585,0.393308915,Jorge Soler,154
198,594988,0.393016077,Scott Schebler,283
20,643217,0.392727343,Andrew Benintendi,479
195,592444,0.392615874,JaCoby Jones,288
247,596142,0.3920232,Gary Sanchez,229
170,543510,0.391971936,James McCann,311
348,571912,0.391873707,Luke Maile,137
246,571431,0.391361525,Matt Adams,230
316,459964,0.391145133,Matt Joyce,157
369,454560,0.391122006,A.J. Ellis,119
42,500871,0.391080406,Eduardo Escobar,446
365,435062,0.390834507,Howie Kendrick,124
57,641820,0.390752999,Trey Mancini,431
237,457803,0.390325222,Jay Bruce,244
292,605486,0.390117477,Cory Spangenberg,188
374,595284,0.389655747,Andrew Knapp,112
332,545358,0.389461208,Max Stassi,147
137,570256,0.389116535,Gregory Polanco,353
25,519058,0.388132282,Mike Moustakas,472
147,592567,0.388043208,Colin Moran,340
61,572816,0.387767891,Corey Dickerson,428
245,641598,0.387710045,Mitch Garver,232
371,547379,0.387450581,Roberto Perez,116
225,465041,0.387044024,Francisco Cervelli,253
354,571980,0.386387809,Tyler Naquin,133
260,553882,0.386354,Omar Narvaez,216
370,641857,0.385755025,Ryan McMahon,118
97,425877,0.385510577,Yadier Molina,397
112,608577,0.385493348,Nomar Mazara,376
108,592387,0.385162737,Ryon Healy,380
34,514888,0.385015124,Jose Altuve,458
24,609280,0.384255595,Miguel Andujar,474
175,592348,0.384034015,Niko Goodrum,307
109,446334,0.38377231,Evan Longoria,380
312,640447,0.383745042,Phillip Ervin,160
32,605119,0.382858887,Brian Anderson,461
343,640457,0.382056719,Austin Meadows,140
308,456124,0.381923715,Erik Kratz,166
138,596059,0.381708333,Rougned Odor,353
208,594807,0.381455734,Adam Duvall,268
8,488726,0.381441283,Michael Brantley,516
263,553869,0.381437518,Elias Diaz,213
279,543308,0.381395802,John Hicks,202
357,545350,0.381201771,Jake Marisnick,131
220,664056,0.380914197,Harrison Bader,258
202,576397,0.380596912,Jedd Gyorko,277
18,430945,0.380520447,Adam Jones,488
173,435559,0.380346707,Kurt Suzuki,310
172,474568,0.379598081,Jordy Mercer,311
211,608597,0.379459842,Ronald Guzman,265
15,519203,0.379357784,Anthony Rizzo,492
231,570799,0.379114464,Christian Villanueva,247
179,453943,0.379081162,Todd Frazier,304
14,453568,0.378543502,Charlie Blackmon,494
41,572122,0.378206618,Kyle Seager,447
124,649557,0.378002242,Aledmys Diaz,362
31,571697,0.377651779,Scooter Gennett,466
373,605361,0.377636159,Nick Martini,115
306,472528,0.377095953,Luis Valbuena,168
313,643603,0.377081056,Tyler White,160
192,502517,0.376845402,Daniel Murphy,289
149,571771,0.376827406,Enrique Hernandez,332
69,400121,0.376591459,Victor Martinez,421
338,571875,0.374455927,Jake Lamb,145
66,543807,0.374182977,George Springer,423
4,607208,0.374033761,Trea Turner,529
151,646240,0.373851247,Rafael Devers,331
286,519023,0.372967673,Devin Mesoraco,193
298,467055,0.372848141,Pablo Sandoval,176
358,425772,0.372096219,Jeff Mathis,131
285,595885,0.37145507,Greg Bird,193
13,608070,0.371189199,Jose Ramirez,501
36,592696,0.370730904,Eddie Rosario,455
238,593871,0.370611986,Jorge Polanco,243
250,641343,0.370426405,Jake Bauers,226
344,571974,0.370099535,John Ryan Murphy,138
23,516770,0.369942664,Starlin Castro,474
135,622666,0.3696639,Johan Camargo,355
340,434670,0.369429987,Hanley Ramirez,144
281,543376,0.36882181,Caleb Joseph,199
183,571506,0.368376677,Justin Bour,300
123,452655,0.368032405,Denard Span,362
276,547170,0.367776971,Nicky Delmonico,205
307,593528,0.36748937,Jorge Bonifacio,166
38,516782,0.367401385,Starling Marte,453
129,518618,0.36723467,Derek Dietrich,360
261,466320,0.366400192,Melky Cabrera,215
282,592325,0.366352737,Ben Gamel,197
206,542921,0.365983654,Tim Beckham,270
89,605137,0.365811613,Josh Bell,402
78,543063,0.365690346,Brandon Crawford,412
33,518934,0.36544693,DJ LeMahieu,459
26,467793,0.365303938,Carlos Santana,472
290,446308,0.364269561,Matt Wieters,192
228,444489,0.364072741,Manny Pina,248
333,641583,0.363995894,Dustin Fowler,147
182,621043,0.363959706,Carlos Correa,302
273,572008,0.363366374,Chris Owings,207
150,664068,0.362696575,Scott Kingery,331
284,642715,0.362348731,Willy Adames,194
303,519222,0.361905491,Austin Romine,174
180,491676,0.361573333,Gorkys Hernandez,303
315,572073,0.361559984,Joey Rickard,157
287,544725,0.36117131,Leury Garcia,193
145,457763,0.361094242,Buster Posey,345
378,592200,0.361093529,Curt Casali,108
235,541650,0.36108641,Hernan Perez,244
265,595978,0.360661097,Austin Hedges,213
99,543768,0.360494087,Travis Shaw,396
272,621002,0.360278558,Daniel Robertson,207
252,622168,0.35980816,Yairo Munoz,224
216,621446,0.359261795,Lewis Brinson,263
6,645277,0.359008648,Ozzie Albies,523
266,457706,0.358632744,Austin Jackson,212
12,543760,0.357609619,Marcus Semien,508
300,600524,0.357278645,Renato Nunez,175
111,600869,0.356875032,Jeimer Candelario,377
275,431145,0.35678516,Russell Martin,206
386,628336,0.356429502,Jose Fernandez,101
367,605512,0.356425187,Preston Tucker,122
209,624428,0.355874656,Adam Frazier,266
153,467827,0.35533374,Gerardo Parra,329
304,608700,0.355102942,Kevin Plawecki,173
43,456715,0.354442122,Lorenzo Cain,444
87,621563,0.35425581,Joey Wendle,402
229,571788,0.354073397,Brock Holt,248
68,641313,0.353317222,Tim Anderson,421
295,446359,0.352989974,Zack Cozart,182
230,588751,0.352942383,Adeiny Hechavarria,247
200,543281,0.352910565,Josh Harrison,282
166,594828,0.352798367,Evan Gattis,314
219,501303,0.35245277,Ehire Adrianza,259
314,543484,0.352296314,Mikie Mahtook,160
334,446386,0.351993491,Brandon Guyer,147
47,642708,0.351774565,Amed Rosario,439
81,622110,0.351568002,Matt Duffy,411
223,594809,0.35108077,Adam Eaton,255
191,581527,0.351017462,Devon Travis,290
125,621020,0.350514597,Dansby Swanson,361
92,450314,0.349869175,Ben Zobrist,401
359,400284,0.349359293,Chase Utley,131
119,571466,0.349350371,Tucker Barnhart,369
76,435622,0.349319408,Ian Desmond,414
45,544369,0.349250088,Didi Gregorius,441
100,622534,0.348871088,Manuel Margot,395
324,608654,0.348690177,Johnny Field,151
70,543401,0.347136434,Jason Kipnis,420
50,595777,0.347076631,Jurickson Profar,437
139,471865,0.347066604,Carlos Gonzalez,353
157,608365,0.346770445,Addison Russell,323
385,570481,0.345778121,Erik Gonzalez,102
49,596146,0.345012274,Max Kepler,437
82,605113,0.344556578,Nick Ahmed,410
136,518960,0.343672787,Jonathan Lucroy,355
117,596748,0.343668456,Maikel Franco,371
278,643446,0.343188405,Jeff McNeil,203
335,641319,0.343112653,Carlos Asuaje,147
5,516416,0.342995711,Jean Segura,525
51,445055,0.342516058,Jon Jay,436
301,553988,0.342455003,Dixon Machado,174
133,575929,0.342115581,Willson Contreras,356
241,572191,0.341894786,Michael A. Taylor,237
270,518586,0.341195616,Charlie Culberson,210
342,605170,0.340809851,Victor Caratini,142
96,500208,0.340046793,Yangervis Solarte,398
221,460576,0.339811537,Carlos Gomez,256
234,595375,0.339741516,JT Riddle,244
35,520471,0.338245932,Freddy Galvis,458
267,656185,0.338125746,Greg Allen,212
207,457727,0.337833903,Cameron Maybin,268
326,435263,0.337817832,Brian McCann,151
355,453923,0.336559583,Gregor Blanco,133
46,606466,0.33649398,Ketel Marte,440
107,518792,0.335711181,Jason Heyward,381
77,456488,0.335394818,Eduardo Nunez,413
127,570731,0.335125907,Jonathan Schoop,360
176,641553,0.335111675,Adam Engel,307
350,596119,0.334264438,Blake Swihart,135
28,543333,0.33421315,Eric Hosmer,466
319,607054,0.334191501,Jace Peterson,154
269,543877,0.333323349,Christian Vazquez,211
39,514917,0.333051555,Cesar Hernandez,451
30,570560,0.332921793,Yolmer Sanchez,466
353,451192,0.332311131,Jim Adduci,133
59,572821,0.331772573,Brian Dozier,428
155,542340,0.33161553,Jonathan Villar,328
67,435079,0.330095289,Ian Kinsler,423
10,592743,0.329453732,Andrelton Simmons,510
297,452254,0.329251576,Hunter Pence,176
160,543257,0.32898737,Robbie Grossman,320
224,664058,0.328731191,David Fletcher,254
141,527038,0.326950304,Wilmer Flores,351
154,462101,0.326279472,Elvis Andrus,328
144,517369,0.32607528,Jose Pirela,348
134,502210,0.325894369,Josh Reddick,356
156,605412,0.325346465,Joe Panik,327
311,445988,0.325174121,Martin Prado,162
203,455117,0.324864233,Martin Maldonado,276
58,546318,0.324581296,Odubel Herrera,430
19,493329,0.324104512,Yuli Gurriel,480
64,458731,0.321856666,Brett Gardner,424
118,546991,0.321833536,Albert Almora Jr.,369
368,475247,0.321653759,Ryan Flaherty,122
193,523253,0.321391109,Logan Forsythe,288
227,628338,0.320780183,Guillermo Heredia,249
233,595281,0.320627045,Kevin Kiermaier,244
102,605480,0.320376536,Mallex Smith,391
289,506702,0.319088819,Sandy Leon,192
254,594011,0.31889999,Rosell Herrera,222
339,600303,0.318624421,Tommy La Stella,144
258,451594,0.318560727,Dexter Fowler,218
309,622682,0.318100323,Victor Reyes,165
264,643393,0.31701414,Tony Kemp,213
336,594824,0.316574147,Greg Garcia,147
375,542364,0.316254516,Rafael Ortega,110
321,607345,0.315711643,Kevan Smith,154
317,491696,0.314257692,Jesus Sucre,157
362,460077,0.313600447,Drew Butera,126
356,596103,0.3131417,Austin Slater,131
9,542255,0.312742903,Ender Inciarte,515
0,606299,0.312644882,Jose Peraza,564
65,500743,0.312372269,Miguel Rojas,424
361,502226,0.310323121,Craig Gentry,126
325,500135,0.310068477,Ronny Rodriguez,151
349,656775,0.309004061,Cedric Mullins,135
329,527043,0.308361164,Jefry Marte,150
152,594694,0.306629461,Wilmer Difo,330
363,592407,0.306263513,Bryan Holaday,125
71,444876,0.305875903,Alcides Escobar,420
302,502481,0.302061602,Jarrod Dyson,174
184,543939,0.301645273,Kolten Wong,300
366,571595,0.299435766,Noel Cuevas,122
104,578428,0.29665844,Jose Iglesias,386
322,434658,0.295326896,Rajai Davis,153
185,643396,0.295006233,Isiah Kiner-Falefa,298
352,605131,0.293925411,Austin Barnes,134
217,606115,0.292401118,Orlando Arcia,263
291,408314,0.290151211,Jose Reyes,190
341,600474,0.287325541,Pedro Severino,144
16,543829,0.28480453,Dee Gordon,489
115,571740,0.282567188,Billy Hamilton,373
248,593700,0.280457305,Alen Hanson,228
204,608671,0.279834789,Travis Jankowski,272
214,592261,0.276270673,Delino DeShields,264
323,547172,0.273915997,Tony Wolters,151
377,543776,0.271787939,JB Shuck,109
380,605509,0.271075414,Kelby Tomlinson,106
376,642423,0.2397787,Magneuris Sierra,109
